Time,Instrument,Operation,OrderId,Side,Volume,Price,Lifespan
0,0,Insert,177349435,B,1000,1469,G
0,0,Insert,177349439,A,8000,1470,G
0,0,Insert,177349467,A,3000,1472,G
0,0,Insert,177349475,A,2000,1471,G
0,0,Insert,177349487,A,2000,1816,G
0,0,Cancel,177349435,,,,G
0,0,Insert,177349499,B,1000,1469,G
0,0,Insert,177349503,A,1000,1470,G
0,0,Cancel,177349467,,,,G
0,0,Cancel,177349499,,,,G
0,0,Insert,177349687,A,2000,1473,G
0,0,Insert,177349767,A,1000,1520,G
0,0,Cancel,177349439,,,,G
0,0,Insert,177349831,A,400,1470,G
0,0,Insert,177349855,B,1000,1466,G
0,0,Cancel,177349855,,,,G
0,0,Insert,177350607,A,8000,1470,G
0,0,Insert,177350623,B,1000,1454,G
0,0,Cancel,177350607,,,,G
0,0,Insert,177351455,B,1000,1469,G
0,0,Insert,177351459,B,1000,1469,G
0,0,Insert,177351463,B,1000,1466,G
0,0,Cancel,177349831,,,,G
0,0,Insert,177351471,A,400,1471,G
0,0,Cancel,177351455,,,,G
0,0,Cancel,177349687,,,,G
0,0,Insert,177351487,B,1000,1469,G
0,0,Insert,177351575,B,1000,1469,G
0,0,Cancel,177349503,,,,G
0,0,Insert,177351587,B,1000,1469,G
0,0,Insert,177351591,A,1000,1471,G
0,0,Insert,177351611,A,1000,1474,G
0,0,Cancel,177349487,,,,G
0,0,Insert,177351615,A,2000,1817,G
0,0,Insert,177351619,A,2000,1480,G
0,0,Insert,177351691,A,1000,1472,G
0,0,Cancel,177351575,,,,G
0,0,Cancel,177351587,,,,G
0,0,Cancel,177351487,,,,G
0,0,Cancel,177351463,,,,G
0,0,Insert,177351811,B,1000,1469,G
0,0,Insert,177351831,B,1000,1466,G
0,0,Insert,177351991,A,8000,1470,G
0,0,Cancel,177351811,,,,G
0,0,Insert,177351999,A,3000,1473,G
0,0,Cancel,177351471,,,,G
0,0,Cancel,177351615,,,,G
0,0,Insert,177352007,A,2000,1816,G
0,0,Cancel,177351611,,,,G
0,0,Cancel,177351619,,,,G
0,0,Insert,177352015,B,1000,1469,G
0,0,Cancel,177351991,,,,G
0,0,Insert,177352047,A,2000,1480,G
0,0,Insert,177352055,A,1000,1474,G
0,0,Insert,177352123,A,1000,1485,G
0,0,Cancel,177352007,,,,G
0,0,Insert,177352127,A,2000,1817,G
0,0,Cancel,177351691,,,,G
0,0,Insert,177352303,B,8000,1469,G
0,0,Insert,177352347,A,1000,1472,G
0,0,Insert,177352391,A,400,1471,G
0,0,Cancel,177352123,,,,G
0,0,Insert,177352479,B,1000,1469,G
0,0,Insert,177352535,B,1000,1469,G
0,0,Insert,177352539,B,1000,1469,G
0,0,Cancel,177349475,,,,G
0,0,Cancel,177350623,,,,G
0,0,Insert,177352591,A,1000,1472,G
0,0,Cancel,177352591,,,,G
0,0,Insert,177352959,A,1000,1472,G
0,0,Cancel,177352959,,,,G
0,0,Insert,177353207,A,2000,1472,G
0,0,Cancel,177352391,,,,G
0,0,Cancel,177351999,,,,G
0,0,Insert,177353235,A,400,1472,G
0,0,Insert,177353271,B,2000,1130,G
0,0,Cancel,177353271,,,,G
0,0,Insert,177353279,B,2000,1129,G
0,0,Cancel,177353279,,,,G
0,0,Insert,177353287,B,2000,1130,G
0,0,Insert,177353291,B,1000,1463,G
0,0,Cancel,177353287,,,,G
0,0,Insert,177353295,B,2000,1129,G
0,0,Cancel,177353291,,,,G
0,0,Insert,177353307,B,1000,1463,G
0,0,Cancel,177353295,,,,G
0,0,Insert,177353315,B,2000,1130,G
0,0,Cancel,177353315,,,,G
0,0,Insert,177353319,B,2000,1129,G
0,0,Cancel,177353319,,,,G
0,0,Insert,177353323,B,2000,1130,G
0,0,Cancel,177353323,,,,G
0,0,Insert,177353327,B,2000,1129,G
0,0,Cancel,177353307,,,,G
0,0,Insert,177353359,B,1000,1463,G
0,0,Cancel,177353327,,,,G
0,0,Insert,177353403,B,2000,1130,G
0,0,Cancel,177353403,,,,G
0,0,Insert,177353407,B,2000,1129,G
0,0,Cancel,177353407,,,,G
0,0,Insert,177353423,B,2000,1130,G
0.029821,1,Insert,7028062,A,10000,1476,G
0.029821,1,Insert,7028063,B,10000,1464,G
0.152811,0,Cancel,177353423,,,,G
0.152811,0,Insert,177353443,B,2000,1129,G
0.152859,0,Cancel,177353443,,,,G
0.152859,0,Insert,177353451,B,2000,1130,G
0.152939,0,Cancel,177353451,,,,G
0.152939,0,Insert,177353455,B,2000,1129,G
0.152939,0,Cancel,177353359,,,,G
0.153042,0,Insert,177353463,B,1000,1463,G
0.153497,0,Cancel,177353455,,,,G
0.153497,0,Insert,177353483,B,2000,1130,G
0.153542,0,Cancel,177353483,,,,G
0.153542,0,Insert,177353487,B,2000,1129,G
0.153585,0,Cancel,177353487,,,,G
0.153585,0,Insert,177353491,B,2000,1130,G
0.153631,0,Cancel,177353491,,,,G
0.153631,0,Insert,177353495,B,2000,1129,G
0.153685,0,Cancel,177353495,,,,G
0.153685,0,Insert,177353499,B,2000,1130,G
0.153728,0,Cancel,177353499,,,,G
0.153728,0,Insert,177353503,B,2000,1129,G
0.153769,0,Cancel,177353463,,,,G
0.153773,0,Cancel,177353503,,,,G
0.153773,0,Insert,177353511,B,2000,1130,G
0.153817,0,Cancel,177353511,,,,G
0.153817,0,Insert,177353515,B,2000,1129,G
0.153883,0,Insert,177353519,B,1000,1463,G
0.164273,0,Insert,177353751,B,740,1469,G
0.164277,0,Insert,177353759,B,8000,1469,G
0.164277,0,Insert,177353763,B,8000,1469,G
0.164277,0,Cancel,177352479,,,,G
0.164495,0,Cancel,177353519,,,,G
0.164727,0,Insert,177353791,B,1000,1470,G
0.164751,0,Cancel,177353763,,,,G
